titulo,anio,categoria,descripcion,imagen_url,tipo,director,actores
Cadena Perpetua,1994,Drama,"Andrew Dufresne es un hombre inocente que es acusado del asesinato de su mujer. Tras ser condenado a cadena perpetua, es enviado a la cárcel de Shawshank, en Maine.","https://m.media-amazon.com/images/I/61-vQDr7ecL._AC_UF894,1000_QL80_.jpg",P,Frank Darabont,"Tim Robbins, Morgan Freeman"
Inception,2010,Accion,"Dom Cobb es un ladrón capaz de adentrarse en los sueños de la gente y hacerse con sus secretos. Sin embargo, ahora tiene que llevar a cabo una misión diferente a lo que ha hecho siempre: realizar una inserción para implantar una idea en el subconsciente de una persona.",https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_FMjpg_UX1000_.jpg,P,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt"
The Matrix,1999,Accion,"El programador informático Thomas Anderson, más conocido en el mundo de los ""hackers"" como Neo, está en el punto de mira del temible agente Smith. Otros dos piratas informáticos, Trinity y Morfeo, se ponen en contacto con Neo para ayudarlo a escapar. Matrix te posee. Sigue al conejo blanco.",https://pics.filmaffinity.com/Matrix-430409153-large.jpg,P,Lana Wachowski,"Keanu Reeves, Laurence Fishburne"
Interstellar,2014,Aventura,"Un grupo de científicos y exploradores, encabezados por Cooper, se embarcan en un viaje espacial para encontrar un lugar con las condiciones necesarias para reemplazar a la Tierra y comenzar una nueva vida allí.",https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,P,Christopher Nolan,"Matthew McConaughey, Anne Hathaway"
The Dark Knight,2008,Accion,"Con la ayuda del teniente Jim Gordon y del Fiscal del Distrito Harvey Dent, Batman mantiene a raya el crimen organizado en Gotham. Todo cambia cuando aparece el Joker, un nuevo criminal que desencadena el caos y tiene aterrados a los ciudadanos.",https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_FMjpg_UX1000_.jpg,P,Christopher Nolan,"Christian Bale, Heath Ledger"
El club de la lucha,1999,Drama,Un empleado de oficina insomne en busca de una manera de cambiar su vida se cruza con un vendedor y crean un club de lucha clandestino como forma de terapia.,https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,P,David Fincher,"Brad Pitt, Edward Norton"
Pulp Fiction,1994,Crimen,"Historias de dos matones, un boxeador y una pareja de atracadores de poca monta envueltos en una violencia espectacular e irónica.",https://pics.filmaffinity.com/Pulp_Fiction-210382116-large.jpg,P,Quentin Tarantino,"John Travolta, Uma Thurman, Samuel L. Jackson"
Snatch. Cerdos y diamantes,2000,Crimen / Comedia Negra,"Promotores de boxeo sin escrúpulos, corredores de apuestas violentos, un gánster ruso, ladrones aficionados y supuestos joyeros judíos luchan por localizar un diamante robado de valor incalculable.",https://m.media-amazon.com/images/M/MV5BMThmZGY1MDYtNGJlNC00NWU2LWFmZDMtZWY0NTgzMDIxZTRhXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,P,Guy Ritchie,"Jason Statham, Brad Pitt, Stephen Graham"
Gladiator,2000,Accion,"El general romano Máximo es el soporte más leal del emperador Marco Aurelio, que lo ha conducido de victoria en victoria. Sin embargo, Cómodo, el hijo de Marco Aurelio, está celoso del prestigio de Máximo y aún más del amor que su padre siente por él.",https://es.web.img3.acsta.net/medias/nmedia/18/70/92/02/20149073.jpg,P,Ridley Scott,"Russell Crowe, Joaquin Phoenix"
El Señor de los Anillos: la Comunidad del Anillo,2001,Aventura - Ciencia Ficcion,"En la Tierra Media, el Señor Oscuro Sauron forjó los Grandes Anillos del Poder y creó uno con el poder de esclavizar a toda la Tierra Media. Frodo Bolsón es un hobbit al que su tío Bilbo hace portador del poderoso Anillo Único con la misión de destruirlo.",https://es.web.img3.acsta.net/medias/nmedia/18/89/67/45/20061512.jpg,P,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen"
Avatar,2009,Accion,"Entramos en el mundo Avatar de la mano de Jake Sully, un ex-Marine en silla de ruedas, que ha sido reclutado para viajar a Pandora, donde existe un mineral raro y muy preciado que puede solucionar la crisis energética existente en la Tierra.",https://es.web.img3.acsta.net/medias/nmedia/18/92/13/82/20182449.jpg,P,James Cameron,"Sam Worthington, Zoe Saldaña"
Wolfs,2024,Thriller,Dos "fixers" solitarios son contratados para el mismo trabajo.,https://upload.wikimedia.org/wikipedia/en/thumb/4/48/Wolfs_%28film%29.jpg/250px-Wolfs_%28film%29.jpg,P,Jon Watts,"George Clooney, Brad Pitt"
Killing Them Softly,2012,Crimen,Jackie Cogan es un investigador que resuelve un golpe a una partida de póker de la mafia.,https://pics.filmaffinity.com/Maatalos_suavemente-949505272-large.jpg,P,Andrew Dominik,"Brad Pitt, Ray Liotta"
Goodfellas,1990,Crimen,La historia del ascenso y caída del socio de la mafia Henry Hill.,https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,P,Martin Scorsese,"Robert De Niro, Ray Liotta, Joe Pesci"
Hail Caesar!,2016,Comedia,Un "fixer" de Hollywood en los años 50 intenta mantener a las estrellas del estudio a raya.,https://m.media-amazon.com/images/M/MV5BYmE1NDE2ODUtZmVmNi00OTM3LWFkOTItZDE2NGUwMTM0YjIyXkEyXkFqcGc@._V1_.jpg,P,Ethan Coen,"Josh Brolin, George Clooney"
Burn After Reading,2008,Comedia,Las memorias de un analista de la CIA caen en manos de empleados de gimnasio.,https://es.web.img2.acsta.net/medias/nmedia/18/67/01/33/20186971.jpg,P,Ethan Coen,"George Clooney, Brad Pitt, Frances McDormand"
O Brother Where Art Thou?,2000,Aventura,Tres convictos escapan buscando un tesoro en el sur profundo de los años 30.,https://m.media-amazon.com/images/M/MV5BMDhmMzZkYzctOTQ4MS00NWEzLWI1YzMtNTllZDhkYjgwOWQ0XkEyXkFqcGc@._V1_.jpg,P,Joel Coen,"George Clooney, John Turturro"
No Country for Old Men,2007,Thriller,La violencia y el caos estallan tras el descubrimiento de un maletín con dinero.,https://pics.filmaffinity.com/No_es_paais_para_viejos-847964252-large.jpg,P,Ethan Coen,"Tommy Lee Jones, Javier Bardem"
Donnie Brasco,1997,Crimen,Un agente del FBI se infiltra en la mafia y se identifica más con la vida criminal.,https://m.media-amazon.com/images/M/MV5BZWZkNDA2YTctZWJhZS00OTAzLThlODMtY2QyMzg1MTEwYjU2XkEyXkFqcGc@._V1_.jpg,P,Mike Newell,"Al Pacino, Johnny Depp"
City of God,2002,Crimen,Dos niños crecen en un barrio violento de Río de Janeiro tomando caminos diferentes.,https://es.web.img2.acsta.net/c_310_420/medias/nmedia/18/68/09/00/20071863.jpg,P,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino"
Once Upon a Time in America,1984,Crimen,Un ex gángster judío regresa al Lower East Side de Manhattan.,https://m.media-amazon.com/images/M/MV5BN2IwMmVmOTktMWNiMi00NjFiLThlZDUtMDAyOGZiNmJjM2ExXkEyXkFqcGc@._V1_.jpg,P,Sergio Leone,"Robert De Niro, James Woods"
The Mothman Prophecies,2002,Terror,Un reportero investiga extraños sucesos en una pequeña ciudad.,https://m.media-amazon.com/images/S/pv-target-images/a173366b54816be5d7465ed1162ab02f0800c0275dc42e6052df3af7fd07febd.jpg,P,Mark Pellington,"Richard Gere, Laura Linney"
Alien: el octavo pasajero,1979,Terror,La tripulación de una nave comercial encuentra una forma de vida mortal.,https://static.wikia.nocookie.net/doblaje/images/2/2d/AliensI.jpg/revision/latest?cb=20210221184427&path-prefix=es,P,Ridley Scott,"Sigourney Weaver, Tom Skerritt"
Predator,1987,Accion,Un equipo de comandos es cazado por una criatura extraterrestre en la selva.,"https://m.media-amazon.com/images/I/81ht1oZSZ6L._AC_UF894,1000_QL80_.jpg",P,John McTiernan,"Arnold Schwarzenegger, Carl Weathers"
Friday the 13th,1980,Terror,Un grupo de consejeros de campamento es acechado por un asesino desconocido.,https://pics.filmaffinity.com/Martes_13-652224175-mmed.jpg,P,Sean S. Cunningham,"Betsy Palmer, Adrienne King"
A Nightmare on Elm Street,1984,Terror,El espíritu de un asesino persigue a adolescentes en sus sueños.,"https://m.media-amazon.com/images/I/8156-d1nUTL._AC_UF894,1000_QL80_.jpg",P,Wes Craven,"Heather Langenkamp, Johnny Depp"
The Simpsons,1989,Animacion,Las aventuras satíricas de una familia de clase trabajadora en Springfield.,https://m.media-amazon.com/images/M/MV5BNTU2OWE0YWYtMjRlMS00NTUwLWJmZWUtODFhNzJiMGJlMzI3XkEyXkFqcGc@._V1_FMjpg_UX1000_.jpg,S,Matt Groening,"Dan Castellaneta, Nancy Cartwright"
American Dad!,2005,Animacion,Las desventuras de un agente de la CIA y su excéntrica familia.,https://m.media-amazon.com/images/M/MV5BZDI4ZWYwMGUtZGE1Yi00OTc5LWI3NDctMGY4ZWE4NzI4NWUwXkEyXkFqcGc@._V1_.jpg,S,Seth MacFarlane,"Seth MacFarlane, Wendy Schaal"
Family Guy,1999,Animacion,En una ciudad de Rhode Island vive una familia disfuncional.,https://m.media-amazon.com/images/M/MV5BNTZlMGQ1YjEtMzVlNC00ZmMxLTk0MzgtZjdkYTU1NmUxNTQ0XkEyXkFqcGc@._V1_.jpg,S,Seth MacFarlane,"Seth MacFarlane, Alex Borstein"
Altered Carbon,2018,Ciencia Ficcion,En el futuro la consciencia se digitaliza y se almacena.,https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14899996_b_v8_ab.jpg,S,Laeta Kalogridis,"Joel Kinnaman, Anthony Mackie"
Love Death & Robots,2019,Ciencia Ficcion,Colección de cortos animados de varios géneros.,https://pics.filmaffinity.com/love_death_robots-192878001-large.jpg,S,Tim Miller,"Varios"
Gomorrah,2014,Crimen,Una mirada interna al sindicato del crimen Camorra en Nápoles.,"https://m.media-amazon.com/images/I/81UzxfoC6tL._AC_UF894,1000_QL80_.jpg",S,Roberto Saviano,"Marco D'Amore, Salvatore Esposito"
Narcos,2015,Crimen,Una crónica de las hazañas criminales del capo de la droga Pablo Escobar.,https://es.web.img3.acsta.net/pictures/15/07/29/14/33/086520.jpg,S,Chris Brancato,"Wagner Moura, Pedro Pascal"
Stranger Things,2016,Ciencia Ficcion,Fuerzas sobrenaturales y experimentos secretos en un pueblo de Indiana.,https://pics.filmaffinity.com/stranger_things-875025085-large.jpg,S,Duffer Brothers,"Millie Bobby Brown, Finn Wolfhard"
